up	down	left	right	up available	down available	left available	right available	angle to apple	reward
1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.5002536072595212	-0.2
1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.4490194425466801	-1.0
0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.5002536072595212	-1.0
0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	-0.1250634018148803	-0.2
0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	-0.1564958158037148	-0.2
0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	-0.17629756652772138	-0.2
0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	-0.18953661619148593	-0.2
1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	-0.16407274307711983	0.1
1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	-0.14765847420407838	0.1
1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	-0.1250634018148803	0.1
0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	-0.09363098782604577	-1.0
0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.34375779145580637	0.1
0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.3751902054446409	-0.2
0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.40662261943347544	0.1
0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.4490194425466801	0.1
0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.5002536072595212	0.1
1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.5002536072595212	-0.2
1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.42642437015748197	-0.2
0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.3751902054446409	-0.2
0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.40662261943347544	0.1
0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.4490194425466801	-0.2
0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.46124426599728163	0.1
0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.5002536072595212	-1.0
0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	-0.05123416471284111	-1.0
0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.3751902054446409	0.1
0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.40662261943347544	0.1
0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.4490194425466801	0.1
0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.5002536072595212	-0.2
0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.5002536072595212	-0.2
0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	-0.46124426599728163	-1.0
1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	-0.2
1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.1250634018148803	-0.2
1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.17629756652772138	-0.2
0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.1988926389169195	0.1
0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.2501268036297606	0.1
0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.2501268036297606	0.1
0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.2501268036297606	0.7
0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	-0.3751902054446409	0.1
1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	-0.34375779145580637	0.1
1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	-0.3751902054446409	0.1
0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	-0.42642437015748197	0.1
0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	-0.3751902054446409	0.1
0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	-0.2501268036297606	-0.2
0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	-0.2501268036297606	-0.2
0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	-0.2501268036297606	-1.0
0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	-0.1564958158037148	0.1
0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	-0.1988926389169195	0.1
0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	-0.2501268036297606	-0.2
0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	-0.2501268036297606	-1.0
0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	-0.3751902054446409	-0.2
0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	-0.397785277833839	-0.2
1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	-0.4141995467068804	0.1
1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	-0.4396634198212465	0.1
0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	-0.4688211932706867	-1.0
0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	-0.40662261943347544	0.1
0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	-0.3751902054446409	0.1
0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	-0.3239560407317998	-0.2
0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	-0.30136096834260173	-0.2
0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	-0.2891361448920001	-0.2
0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	-0.3239560407317998	-1.0
0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.1
0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-1.0
0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	-1.0
1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	-0.06059018743827466	0.1
0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	-0.031432413988834514	-1.0
0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.40662261943347544	-1.0
1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.1250634018148803	-0.2
0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.14765847420407838	0.1
0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.17629756652772138	0.1
0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.2111174623675211	0.1
1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.2501268036297606	-1.0
0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.3239560407317998	0.1
1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.2501268036297606	-0.2
0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.2501268036297606	-0.2
0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.1988926389169195	0.1
0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.17629756652772138	-0.2
0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.1250634018148803	0.1
0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.07382923710203919	0.1
0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	-0.2
0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	-1.0
0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.03900934126223951	-1.0
0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.7
0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.05123416471284111	-1.0
0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	-0.1988926389169195	-0.2
0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	-0.1564958158037148	-0.2
0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	-0.17629756652772138	-0.2
0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	-0.14765847420407838	-1.0
0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.4688211932706867	-1.0
0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	-0.3751902054446409	0.1
0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	-0.2501268036297606	-0.2
0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.2501268036297606	-1.0
0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.1250634018148803	0.1
0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.07382923710203919	0.1
0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.1250634018148803	0.1
0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.2501268036297606	-0.2
1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.3751902054446409	-0.2
0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.3239560407317998	-1.0
0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	-0.2501268036297606	-0.2
0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.2501268036297606	-1.0
0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	-0.17629756652772138	0.1
1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	-0.2501268036297606	0.1
0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	-0.2501268036297606	-0.2
1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	-0.3751902054446409	0.1
1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.5002536072595212	-0.2
1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.3751902054446409	-1.0
0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.03900934126223951	0.1
0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	-0.2
0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.03900934126223951	-1.0
1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.1564958158037148	-0.2
0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.17629756652772138	0.1
0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.2111174623675211	0.1
0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.2501268036297606	0.1
0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.2501268036297606	-0.2
0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.30136096834260173	0.1
0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.3239560407317998	0.1
0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.2501268036297606	0.1
0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.2501268036297606	-0.2
0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.3751902054446409	0.1
0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.5002536072595212	-0.2
0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.5002536072595212	-0.2
1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.5002536072595212	-0.2
0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.4490194425466801	0.1
1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.42642437015748197	-0.2
0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.3751902054446409	-0.2
0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.40662261943347544	-1.0
0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	-0.2501268036297606	-0.2
0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	-0.1250634018148803	-0.2
0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	-0.17629756652772138	-0.2
0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	-0.1250634018148803	-0.2
0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	-0.1564958158037148	0.1
0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.1988926389169195	-1.0
1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	-0.2
0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.03900934126223951	0.1
0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.05123416471284111	0.1
0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.1
1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	-0.2
0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.07382923710203919	0.1
0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.1250634018148803	0.1
0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.7
1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	-0.2
0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.1250634018148803	-1.0
0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	-0.4490194425466801	0.1
1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	-0.42642437015748197	0.1
0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.5002536072595212	-1.0
0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.1250634018148803	0.1
1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	-0.1564958158037148	-1.0
0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	-0.05123416471284111	-1.0
0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	-0.08605406055264078	-1.0
0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.1564958158037148	0.1
0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.1250634018148803	0.1
0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.17629756652772138	0.1
0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.2501268036297606	-1.0
0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	-0.2
0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	-0.07382923710203919	-0.2
0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	-0.1250634018148803	-0.2
0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	-0.09363098782604577	-0.2
0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	-0.1250634018148803	0.1
0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	-0.1564958158037148	0.1
0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	-0.1988926389169195	-1.0
0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.1988926389169195	0.1
0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.2501268036297606	0.1
0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.2501268036297606	-0.2
0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.3239560407317998	0.1
0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.3751902054446409	0.1
0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.2501268036297606	-0.2
0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.1250634018148803	0.1
0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.7
0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.2501268036297606	-0.2
0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	-0.3239560407317998	-0.2
0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	-0.30136096834260173	0.1
0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	-0.2501268036297606	-0.2
0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	-0.2501268036297606	-0.2
1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	-0.2111174623675211	0.1
1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	-0.1988926389169195	0.1
0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	-0.17629756652772138	-0.2
1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	-0.1250634018148803	0.1
0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	-0.07382923710203919	-0.2
1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	-0.05123416471284111	0.1
1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	-0.2
0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.05123416471284111	0.1
0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.07382923710203919	0.1
0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.1250634018148803	0.1
0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.7
0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.1
0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.7
0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.4688211932706867	0.1
0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.5002536072595212	0.1
0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.5002536072595212	-0.2
0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	-0.46124426599728163	-0.2
0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	-0.4688211932706867	-0.2
0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	-0.4396634198212465	-0.2
0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	-0.4141995467068804	0.1
0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	-0.397785277833839	-1.0
1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	-0.05123416471284111	0.1
0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	-0.2
0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	-0.2
0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	-0.03900934126223951	-0.2
0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	-0.07382923710203919	0.1
1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	-0.09363098782604577	0.1
0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	-0.05123416471284111	-1.0
0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.17629756652772138	0.1
0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.1564958158037148	0.1
0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.1250634018148803	0.1
0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.17629756652772138	0.1
0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.2501268036297606	-0.2
0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.3239560407317998	-0.2
1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.3751902054446409	-0.2
1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.34375779145580637	-0.2
1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.3239560407317998	-0.2
0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.31071699106803524	-0.2
0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.33618086418240134	0.1
0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.35259513305544277	0.1
0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.3751902054446409	0.1
0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.40662261943347544	-1.0
0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	-0.4688211932706867	0.1
0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	-0.46124426599728163	-0.2
0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	-0.42642437015748197	-1.0
0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	-0.2501268036297606	-0.2
0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.2501268036297606	-1.0
1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	-0.2501268036297606	0.1
0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	-0.2501268036297606	-0.2
0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	-0.3239560407317998	-1.0
0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.7
1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.3751902054446409	-0.2
0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.34375779145580637	-1.0
1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.40662261943347544	-0.2
0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.3751902054446409	-0.2
0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.397785277833839	0.1
0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.42642437015748197	-1.0
1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.09363098782604577	-0.2
0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.1250634018148803	-0.2
1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.10246832942568222	-0.2
0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.1250634018148803	-0.2
1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.10744282519483321	-1.0
0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.2501268036297606	0.1
0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.2501268036297606	-0.2
1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.3239560407317998	-0.2
0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.30136096834260173	-1.0
0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.3751902054446409	-0.2
0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.40662261943347544	0.1
0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.4490194425466801	0.1
0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.42642437015748197	0.1
0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.3751902054446409	0.1
1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.2501268036297606	-0.2
1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.2501268036297606	-0.2
0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.2501268036297606	-0.2
1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.30136096834260173	-0.2
1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.2891361448920001	-1.0
0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	-0.3751902054446409	-1.0
0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.2501268036297606	-0.2
0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.17629756652772138	-0.2
1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.1250634018148803	-0.2
0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.1564958158037148	0.1
0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.1988926389169195	-1.0
0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	-0.1250634018148803	0.1
1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	-0.2501268036297606	0.7
0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.4141995467068804	-1.0
0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.03900934126223951	0.1
1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	-0.05123416471284111	-1.0
0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	-0.10246832942568222	-0.2
0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	-0.1250634018148803	0.1
0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	-0.14765847420407838	0.1
0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	-0.17629756652772138	0.1
1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	-0.2111174623675211	0.1
0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	-0.1988926389169195	0.1
0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	-0.2501268036297606	-0.2
0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	-0.2501268036297606	-1.0
1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	-0.1250634018148803	0.1
0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.7
0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.2501268036297606	-0.2
0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.3239560407317998	0.1
0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.3751902054446409	-0.2
0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.42642437015748197	-0.2
0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.4490194425466801	-0.2
0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.46124426599728163	0.1
0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.5002536072595212	-1.0
0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	-0.07382923710203919	-0.2
0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	-0.06059018743827466	-0.2
0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	-0.08605406055264078	-1.0
0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.1988926389169195	0.1
0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.17629756652772138	0.1
0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.1250634018148803	-0.2
0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.07382923710203919	0.1
0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.1
1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-1.0
1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.3751902054446409	-0.2
0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.35259513305544277	0.1
0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.3239560407317998	0.1
0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.34375779145580637	0.1
0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.30136096834260173	0.1
1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.2501268036297606	-0.2
0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.2501268036297606	-1.0
0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.03900934126223951	0.1
0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	-1.0
0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.3751902054446409	0.1
0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.42642437015748197	0.1
1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.3751902054446409	-0.2
0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.3239560407317998	0.1
1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.2501268036297606	-0.2
0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.2501268036297606	-0.2
0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.1988926389169195	0.1
0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.17629756652772138	-1.0
0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.17629756652772138	0.1
0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.1250634018148803	-0.2
0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.07382923710203919	0.1
0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	-0.2
0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	-1.0
